coletanea;codigo;numeracao;titulo;creditos
Cantor Cristão;CC;224;Um passo só;
Cantor Cristão;CC;225;Voz de ternura;John Hart Stockton | William Hunter
Cantor Cristão;CC;226;Dá teu coração;
Cantor Cristão;CC;227;Despertado coração;
Cantor Cristão;CC;228;Ouvi a chamada;
Cantor Cristão;CC;229;Régio hóspede;Williams Daniel W.Whittle | CC Williams Daniel W.Whittle
Cantor Cristão;CC;230;Deus chamando;
Cantor Cristão;CC;231;Vem filho vem;Ira David Sankey | Horatius Bonar
Cantor Cristão;CC;232;Cristo à porta;
Cantor Cristão;CC;233;Por que não já;
Cantor Cristão;CC;234;Cristo salva;
Cantor Cristão;CC;235;Chamada;
Cantor Cristão;CC;236;Atribulado coração;William James Kirkpatrick
Cantor Cristão;CC;237;Tão perto;Robert Lowry | Fanny J.Crosby
Cantor Cristão;CC;238;A água da vida;Robert Lowry | Fanny J.Crosby
Cantor Cristão;CC;239;A luz do céu;Charles Hutchison Gabriel
Cantor Cristão;CC;240;Oh! Vem a Cristo;Antônio José Millan | Ira David Sankey
Cantor Cristão;CC;241;Palavra abençoada;James McGranahan
Cantor Cristão;CC;242;Vinde já;Elisha A.Hoffmann
Cantor Cristão;CC;243;Vida eterna;
Cantor Cristão;CC;244;Graça admirável;John Zundel
Cantor Cristão;CC;245;Cristo vai passar;J.H.Tenney Elisha A.Hoffmann
Cantor Cristão;CC;246;Vem agora;
Cantor Cristão;CC;247;Vem filho perdido;William H.Doane | Ellen H.Gates
Cantor Cristão;CC;248;Filho pródigo;Robert Lowry
Cantor Cristão;CC;249;Banquete do Belsazar;Knowles Shaw
Cantor Cristão;CC;250;Quase induzido;Philip Paul Bliss
Cantor Cristão;CC;251;Quase achegado;Philip Paul Bliss
Cantor Cristão;CC;252;A porta franca;Silas Jones Vail | Lydia Baxter
Cantor Cristão;CC;253;Não havia lugar;
Cantor Cristão;CC;254;Não venhas tarde;Ricardo Pitrowsky
Cantor Cristão;CC;255;Qual é teu refúgio;
Cantor Cristão;CC;256;Inda há lugar;
Cantor Cristão;CC;257;Quem é que vai;
Cantor Cristão;CC;258;Chora agora;
Cantor Cristão;CC;259;A última hora;
Cantor Cristão;CC;260;Agora;
Cantor Cristão;CC;261;Alma ansiosa;
Cantor Cristão;CC;262;Contrição;
Cantor Cristão;CC;263;Luz divina;
Cantor Cristão;CC;264;Das trevas;
Cantor Cristão;CC;265;Resgate;
Cantor Cristão;CC;266;Tal qual estou;William B.Bradbury | Chalotte Elliott
Cantor Cristão;CC;267;Salvação pela fé;
Cantor Cristão;CC;268;Como estou;
Cantor Cristão;CC;269;Confissão;
Cantor Cristão;CC;270;Resolução;
Cantor Cristão;CC;271;Substituição;
Cantor Cristão;CC;272;Só um passo;
Cantor Cristão;CC;273;Salvador benigno;
Cantor Cristão;CC;274;Coro santo;
Cantor Cristão;CC;275;Contentamento;
Cantor Cristão;CC;276;Coro celeste;
Cantor Cristão;CC;277;Convencido;
Cantor Cristão;CC;278;Cantai;
Cantor Cristão;CC;279;A doce luz;
Cantor Cristão;CC;280;Fiquei curado;
Cantor Cristão;CC;281;Fonte divina;
Cantor Cristão;CC;282;Maravilha;
Cantor Cristão;CC;283;Mais perto;Lowell Mason | Sarah Flower Adams
Cantor Cristão;CC;284;Companhia divina;
Cantor Cristão;CC;285;O alvo supremo;
Cantor Cristão;CC;286;Junto a ti;
Cantor Cristão;CC;287;Com Jesus;
Cantor Cristão;CC;288;Perto do Senhor;
Cantor Cristão;CC;289;Ao pé da cruz;
Cantor Cristão;CC;290;Cristo, meu mestre;
Cantor Cristão;CC;291;Comunhão celeste;
Cantor Cristão;CC;292;Perto de Jesus;
Cantor Cristão;CC;293;Desejos espirituais;
Cantor Cristão;CC;294;Necessitado;
Cantor Cristão;CC;295;Tudo entregarei;Winfield Scott Weeden | Judson W.Van de Venter
Cantor Cristão;CC;296;Consagração;
Cantor Cristão;CC;297;Súplica;
Cantor Cristão;CC;298;Estou pronto;
Cantor Cristão;CC;299;Onde quer que seja;
Cantor Cristão;CC;300;Tudo por Cristo;
Cantor Cristão;CC;301;Crer e observar;Daniel B.Towner | John H.Sammis
Cantor Cristão;CC;302;Como a neve;
Cantor Cristão;CC;303;Amor a Jesus;
Cantor Cristão;CC;304;Um vaso de benção;Harper G.Smyth
Cantor Cristão;CC;305;Consagrar tudo;
Cantor Cristão;CC;306;O caminho da cruz;
Cantor Cristão;CC;307;Reconhecimento;
Cantor Cristão;CC;308;Para onde for, irei;
Cantor Cristão;CC;309;Consagrando-nos;
Cantor Cristão;CC;310;Em teus braços;
Cantor Cristão;CC;311;Confiança;Elisha A.Hoffmann | Henry M. Wright
Cantor Cristão;CC;312;Amparo;Philip Bliss
Cantor Cristão;CC;313;Proteção;
Cantor Cristão;CC;314;Estou seguro;
Cantor Cristão;CC;315;Meu clamor;
Cantor Cristão;CC;316;Deus é por mim;
Cantor Cristão;CC;317;Abrigo;
Cantor Cristão;CC;318;Deus me esconde;
Cantor Cristão;CC;319;Abrigo perfeito;Charles Hutchison Gabriel
Cantor Cristão;CC;320;Abrigo feliz;
Cantor Cristão;CC;321;Abrigo seguro;
Cantor Cristão;CC;322;Cristo valerá;Ada ruth Havershon
Cantor Cristão;CC;323;Castelo forte;Martin Luther
Cantor Cristão;CC;324;Refúgio verdadeiro;J.M.Whyte Manuel A.Souza
Cantor Cristão;CC;325;Naufrágio;
Cantor Cristão;CC;326;Refúgio;
Cantor Cristão;CC;327;O piloto;
Cantor Cristão;CC;328;Sossegai;Horatio Richmond Palmer
Cantor Cristão;CC;329;Conta as bênçãos;
Cantor Cristão;CC;330;O segredo do viver;
Cantor Cristão;CC;331;Glória no porvir;
Cantor Cristão;CC;332;Meu Deus é sabedor;
Cantor Cristão;CC;333;Deus é sabedor;
Cantor Cristão;CC;334;Alívio;
Cantor Cristão;CC;335;O gozo da vida;
Cantor Cristão;CC;336;Fonte de consolação;
Cantor Cristão;CC;337;Nada de desanimo;Charles H.Gabriel | Civilla D.Martin
Cantor Cristão;CC;338;Redentor;
Cantor Cristão;CC;339;Não consintas;Fanny Jane Crosby
Cantor Cristão;CC;340;Importará;
Cantor Cristão;CC;341;Socorro divino;
Cantor Cristão;CC;342;A minha cruz;Ballington Booth
Cantor Cristão;CC;343;Sempre firme;Ira David Sankey
Cantor Cristão;CC;344;Deus cuidará de ti;Walter Stilman Martin | Civilla Durfee Martin
Cantor Cristão;CC;345;Contar a Jesus;
Cantor Cristão;CC;346;Meu Deus proverá;
Cantor Cristão;CC;347;O coração em paz;Bentley DF.Ackley
Cantor Cristão;CC;348;Confiando;
Cantor Cristão;CC;349;Rica promessa;
Cantor Cristão;CC;350;Quero o salvador;
Cantor Cristão;CC;351;Direção divina;
Cantor Cristão;CC;352;Seguindo a Cristo;
Cantor Cristão;CC;353;Sou pecador;
Cantor Cristão;CC;354;Cada momento;Daniel Webster Whittle
Cantor Cristão;CC;355;Luz benigna;
Cantor Cristão;CC;356;Jesus como guia;
Cantor Cristão;CC;357;Guia-me;
Cantor Cristão;CC;358;Não há perigo;
Cantor Cristão;CC;359;Jesus como guia;
Cantor Cristão;CC;360;Companheiro;
Cantor Cristão;CC;361;Por mim;
Cantor Cristão;CC;362;Nunca sozinho;Henry Maxwell Wright
Cantor Cristão;CC;363;Sê tu meu guia;
Cantor Cristão;CC;364;Filhos de Deus;
Cantor Cristão;CC;365;Fé persistente;
Cantor Cristão;CC;366;Firmeza;William Batchelder Bradbury | Edward Mote
Cantor Cristão;CC;367;Firme na rocha;William James Kirkpatrick | Priscilla Jane Owens
Cantor Cristão;CC;368;Jesus bendito;
Cantor Cristão;CC;369;Só Jesus;
Cantor Cristão;CC;370;Crendo em Cristo;
Cantor Cristão;CC;371;Rocha eterna;Thomas Hastings
Cantor Cristão;CC;372;Salvo estou;
Cantor Cristão;CC;373;Certeza;
Cantor Cristão;CC;374;Salvo;
Cantor Cristão;CC;375;Segurança;Phoebe Palmer Knapp | Fanny Jane Crosby
Cantor Cristão;CC;376;Salvação perfeita;
Cantor Cristão;CC;377;Não sei porque;James McGranahan | Daniel Webster Whittle
Cantor Cristão;CC;378;Já certo estou;
Cantor Cristão;CC;379;Laços benditos;
Cantor Cristão;CC;380;Amor;
Cantor Cristão;CC;381;Amor fraternal;Sarah P Kalley | George J.Webb
Cantor Cristão;CC;382;Vamos à igreja;
Cantor Cristão;CC;383;Satisfação;
Cantor Cristão;CC;384;Que doce voz;C.Austin Miles | Manuel A.Souza
Cantor Cristão;CC;385;Louvor;Manuel Avelino de Souza | Charles H.Gabriel
Cantor Cristão;CC;386;Ah! Se eu tivesse mil vozes;William E.Entzminger | William F.Sherwin
Cantor Cristão;CC;387;Contentamento;
Cantor Cristão;CC;388;O homem feliz;
Cantor Cristão;CC;389;Ventura;
Cantor Cristão;CC;390;Nada falta;
Cantor Cristão;CC;391;Estou contente;
Cantor Cristão;CC;392;Extraviado;
Cantor Cristão;CC;393;Cristo para mim;
Cantor Cristão;CC;394;Realidade;
Cantor Cristão;CC;395;Cristo satisfaz;William Augustus Ogden
Cantor Cristão;CC;396;Foi na cruz foi na cruz;Ralph E.Hudson
Cantor Cristão;CC;397;Achei descanso;
Cantor Cristão;CC;398;Sou feliz;Phillip Paul Bliss | Horation Gates Spafford
Cantor Cristão;CC;399;Cantarei de Cristo;
Cantor Cristão;CC;400;Júbilo;
Cantor Cristão;CC;401;Eu sou de Jesus;Bentley DeForrest Ackley | James Rowe
Cantor Cristão;CC;402;Escrava resgatada;Robert Lowry
Cantor Cristão;CC;403;Eu alegre vou;Winfield S.Weeden | Judson W.V.Venter
Cantor Cristão;CC;404;Substituição;
Cantor Cristão;CC;405;Gozo e paz;
Cantor Cristão;CC;406;Confiar em Cristo;
Cantor Cristão;CC;407;Ditoso dia;Adapt. Edward F.Rimbault | Philip Doddridge
Cantor Cristão;CC;408;Descanso verdadeiro;
Cantor Cristão;CC;409;Plena paz;
Cantor Cristão;CC;410;No serviço do meu rei;Bentley DeForrest Ackley | Aifred Henry Ackley
Cantor Cristão;CC;411;Que alegria neste dia;
Cantor Cristão;CC;412;A música dos salvos;
Cantor Cristão;CC;413;Lealdade;
Cantor Cristão;CC;414;Acordai;
Cantor Cristão;CC;415;Alerta;Johan Martin Spiess | George Heath
Cantor Cristão;CC;416;Filhos da luz;Sarah P.Kalley
Cantor Cristão;CC;417;Brilha no meio do teu viver;Charles H.Gabriel
