coletanea;codigo;titulo;creditos
CC;233;Por que não já;
CC;234;Cristo salva;
CC;235;Chamada;
CC;236;Atribulado coração;William James Kirkpatrick
CC;237;Tão perto;Robert Lowry | Fanny J.Crosby
CC;238;A água da vida;Robert Lowry | Fanny J.Crosby
CC;239;A luz do céu;Charles Hutchison Gabriel
CC;240;Oh! Vem a Cristo;Antônio José Millan | Ira David Sankey
CC;241;Palavra abençoada;James McGranahan
CC;242;Vinde já;Elisha A.Hoffmann
CC;243;Vida eterna;
CC;244;Graça admirável;John Zundel
CC;245;Cristo vai passar;J.H.Tenney Elisha A.Hoffmann
CC;246;Vem agora;
CC;247;Vem filho perdido;William H.Doane | Ellen H.Gates
CC;248;Filho pródigo;Robert Lowry
CC;249;Banquete do Belsazar;Knowles Shaw
CC;250;Quase induzido;Philip Paul Bliss
CC;251;Quase achegado;Philip Paul Bliss
CC;252;A porta franca;Silas Jones Vail | Lydia Baxter
CC;253;Não havia lugar;
CC;254;Não venhas tarde;Ricardo Pitrowsky
CC;255;Qual é teu refúgio;
CC;256;Inda há lugar;
CC;257;Quem é que vai;
CC;258;Chora agora;
CC;259;A última hora;
CC;260;Agora;
CC;261;Alma ansiosa;
CC;262;Contrição;
CC;263;Luz divina;
CC;264;Das trevas;
CC;265;Resgate;
CC;266;Tal qual estou;William B.Bradbury | Chalotte Elliott
CC;267;Salvação pela fé;
CC;268;Como estou;
CC;269;Confissão;
CC;270;Resolução;
CC;271;Substituição;
CC;272;Só um passo;
CC;273;Salvador benigno;
CC;274;Coro santo;
CC;275;Contentamento;
CC;276;Coro celeste;
CC;277;Convencido;
CC;278;Cantai;
CC;279;A doce luz;
CC;280;Fiquei curado;
CC;281;Fonte divina;
CC;282;Maravilha;
CC;283;Mais perto;Lowell Mason | Sarah Flower Adams
CC;284;Companhia divina;
CC;285;O alvo supremo;
CC;286;Junto a ti;
CC;287;Com Jesus;
CC;288;Perto do Senhor;
CC;289;Ao pé da cruz;
CC;290;Cristo, meu mestre;
CC;291;Comunhão celeste;
CC;292;Perto de Jesus;
CC;293;Desejos espirituais;
CC;294;Necessitado;
CC;295;Tudo entregarei;Winfield Scott Weeden | Judson W.Van de Venter
CC;296;Consagração;
CC;297;Súplica;
CC;298;Estou pronto;
CC;299;Onde quer que seja;
CC;300;Tudo por Cristo;
CC;301;Crer e observar;Daniel B.Towner | John H.Sammis
CC;302;Como a neve;
CC;303;Amor a Jesus;
CC;304;Um vaso de benção;Harper G.Smyth
CC;305;Consagrar tudo;
CC;306;O caminho da cruz;
CC;307;Reconhecimento;
CC;308;Para onde for, irei;
CC;309;Consagrando-nos;
CC;310;Em teus braços;
CC;311;Confiança;Elisha A.Hoffmann | Henry M. Wright
CC;312;Amparo;Philip Bliss
CC;313;Proteção;
CC;314;Estou seguro;
CC;315;Meu clamor;
CC;316;Deus é por mim;
CC;317;Abrigo;
CC;318;Deus me esconde;
CC;319;Abrigo perfeito;Charles Hutchison Gabriel
CC;320;Abrigo feliz;
CC;321;Abrigo seguro;
CC;322;Cristo valerá;Ada ruth Havershon
CC;323;Castelo forte;Martin Luther
CC;324;Refúgio verdadeiro;J.M.Whyte Manuel A.Souza
CC;325;Naufrágio;
CC;326;Refúgio;
CC;327;O piloto;
CC;328;Sossegai;Horatio Richmond Palmer
CC;329;Conta as bênçãos;
CC;330;O segredo do viver;
CC;331;Glória no porvir;
CC;332;Meu Deus é sabedor;
CC;333;Deus é sabedor;
CC;334;Alívio;
CC;335;O gozo da vida;
CC;336;Fonte de consolação;
CC;337;Nada de desanimo;Charles H.Gabriel | Civilla D.Martin
CC;338;Redentor;
CC;339;Não consintas;Fanny Jane Crosby
CC;340;Importará;
CC;341;Socorro divino;
CC;342;A minha cruz;Ballington Booth
CC;343;Sempre firme;Ira David Sankey
CC;344;Deus cuidará de ti;Walter Stilman Martin | Civilla Durfee Martin
CC;345;Contar a Jesus;
CC;346;Meu Deus proverá;
CC;347;O coração em paz;Bentley DF.Ackley
CC;348;Confiando;
CC;349;Rica promessa;
CC;350;Quero o salvador;
CC;351;Direção divina;
CC;352;Seguindo a Cristo;
CC;353;Sou pecador;
CC;354;Cada momento;Daniel Webster Whittle
CC;355;Luz benigna;
CC;356;Jesus como guia;
CC;357;Guia-me;
CC;358;Não há perigo;
CC;359;Jesus como guia;
CC;360;Companheiro;
CC;361;Por mim;
CC;362;Nunca sozinho;Henry Maxwell Wright
CC;363;Sê tu meu guia;
CC;364;Filhos de Deus;
CC;365;Fé persistente;
CC;366;Firmeza;William Batchelder Bradbury | Edward Mote
CC;367;Firme na rocha;William James Kirkpatrick | Priscilla Jane Owens
CC;368;Jesus bendito;
CC;369;Só Jesus;
CC;370;Crendo em Cristo;
CC;371;Rocha eterna;Thomas Hastings
CC;372;Salvo estou;
CC;373;Certeza;
CC;374;Salvo;
CC;375;Segurança;Phoebe Palmer Knapp | Fanny Jane Crosby
CC;376;Salvação perfeita;
CC;377;Não sei porque;James McGranahan | Daniel Webster Whittle
CC;378;Já certo estou;
CC;379;Laços benditos;
CC;380;Amor;
CC;381;Amor fraternal;Sarah P Kalley | George J.Webb
CC;382;Vamos à igreja;
CC;383;Satisfação;
CC;384;Que doce voz;C.Austin Miles | Manuel A.Souza
CC;385;Louvor;Manuel Avelino de Souza | Charles H.Gabriel
CC;386;Ah! Se eu tivesse mil vozes;William E.Entzminger | William F.Sherwin
CC;387;Contentamento;
CC;388;O homem feliz;
CC;389;Ventura;
CC;390;Nada falta;
CC;391;Estou contente;
CC;392;Extraviado;
CC;393;Cristo para mim;
CC;394;Realidade;
CC;395;Cristo satisfaz;William Augustus Ogden
CC;396;Foi na cruz foi na cruz;Ralph E.Hudson
CC;397;Achei descanso;
CC;398;Sou feliz;Phillip Paul Bliss | Horation Gates Spafford
CC;399;Cantarei de Cristo;
CC;400;Júbilo;
CC;401;Eu sou de Jesus;Bentley DeForrest Ackley | James Rowe
CC;402;Escrava resgatada;Robert Lowry
CC;403;Eu alegre vou;Winfield S.Weeden | Judson W.V.Venter
CC;404;Substituição;
