codigo;coletanea;numeracao;titulo;creditos
CC;Cantor Cristão;136;Estudo bíblico
CC;Cantor Cristão;137;O pão da vida
CC;Cantor Cristão;138;A lei do Senhor
CC;Cantor Cristão;139;Dia do Senhor
CC;Cantor Cristão;140;Domingo
CC;Cantor Cristão;141;Descanso aos domingos
CC;Cantor Cristão;142;Pão da vida
CC;Cantor Cristão;143;A ceia do Senhor
CC;Cantor Cristão;144;Vera páscoa
CC;Cantor Cristão;145;Batismo
CC;Cantor Cristão;146;Alegria verdadeira
CC;Cantor Cristão;147;Obediência no batismo
CC;Cantor Cristão;148;Hora bendita;William Batchelder Bradbury | William W Walford
CC;Cantor Cristão;149;Persistência em oração
CC;Cantor Cristão;150;Pai nosso
CC;Cantor Cristão;151;Comunhão
CC;Cantor Cristão;152;Pastor divino
CC;Cantor Cristão;153;Perdão
CC;Cantor Cristão;154;Firmes nas promessas;Russel Kelso Carter | William Paton MacKay
CC;Cantor Cristão;155;O grande amigo;Charles Crozat Converse | Joseph Scriven
CC;Cantor Cristão;156;Orando sempre
CC;Cantor Cristão;157;Vivifica-nos, Senhor
CC;Cantor Cristão;158;Em oração
CC;Cantor Cristão;159;Minha oração;William H.Doane | James Theodore Houston
CC;Cantor Cristão;160;A fé contemplada;Bentley DeForrest Ackley | James Rowe
CC;Cantor Cristão;161;Poder espiritual
CC;Cantor Cristão;162;Vigiar e orar
CC;Cantor Cristão;163;Desejos
CC;Cantor Cristão;164;Vivificação
CC;Cantor Cristão;165;Oração
CC;Cantor Cristão;166;As promessas de Deus
CC;Cantor Cristão;167;Vem inflama;Ira David Sankey | Guilherme Luiz S.Ferreira
CC;Cantor Cristão;168;Chuvas de bênçãos;James McGranahan | Daniel Webster Whittle
CC;Cantor Cristão;169;Mais de Cristo;John Robson Sweney | Eliza Edmunds Hewitt
CC;Cantor Cristão;170;Oração de consagração;Philip Paulo Bliss
CC;Cantor Cristão;171;Avivamento;William H.Doane | Albert Midlane
CC;Cantor Cristão;172;Cada dia
CC;Cantor Cristão;173;Mais amor
CC;Cantor Cristão;174;Faça-se a luz
CC;Cantor Cristão;175;Minha aspiração
CC;Cantor Cristão;176;Tempo de ser santo
CC;Cantor Cristão;177;Alvorada
CC;Cantor Cristão;178;O culto findou
CC;Cantor Cristão;179;Fim do culto
CC;Cantor Cristão;180;Despedida
CC;Cantor Cristão;181;Bênção
CC;Cantor Cristão;182;Despedida do culto
CC;Cantor Cristão;183;A luz do mundo
CC;Cantor Cristão;184;Há livre perdão
CC;Cantor Cristão;185;Somente Cristo
CC;Cantor Cristão;186;É Jesus quem salva
CC;Cantor Cristão;187;Teus pecados
CC;Cantor Cristão;188;O evangelho
CC;Cantor Cristão;189;Graça inefável
CC;Cantor Cristão;190;Para salvar-te
CC;Cantor Cristão;191;Eis a nova;J.S.Fearis Manuel A.de Souza
CC;Cantor Cristão;192;Só por Jesus;Philip P.Bliss
CC;Cantor Cristão;193;Proclamação
CC;Cantor Cristão;194;A mensagem celeste
